store_id,name,deadline_days,deadline_time,keywords,always_open,fixed_note,memo
ppl_hbs,플레이포인트랩 해운대 블루오션스테이션,7,0:00,"BANG,뱅,문앞에두고벨눌러주세요,문두벨,별의별,리허설,몽글숲",,,https://playpointlab.com/
ppl_hd,플레이포인트랩 홍대점,7,0:00,"온칼로,연애조작단,B미술학원13호실",,,https://playpointlab.com/
hp_ad,해피앤딩,13,0:00,"해피버스데이,H.B.D,해버데,탐정브래드맨:도넛살인사건,어?계인씨!,앨리스전",,,https://happyanding.co.kr/
gk_ts,황금열쇠 강남타임스퀘어점,6,0:00,"노몬,NOMON,섬,잊혀진이야기",,,http://xn--jj0b998aq3cptw.com/
gk_fl,황금열쇠 강남플라워로드점,6,0:00,"백화점,BACK화점,ANOTHER,어나더",,,http://xn--jj0b998aq3cptw.com/
gk_kd,황금열쇠 건대점,6,0:00,"플래쉬,플래시,FLAESH,나우히어,NOW HERE",,,http://xn--jj0b998aq3cptw.com/
gk_tk,황금열쇠 대구동성로2호점,6,0:00,"배롭배,배드롭배드,BAD ROB BAD,2WAYS,투웨이즈,라스트,LAST,PILGRIM,필그림,지옥,다시너에게,헤븐,HEAVEN,냥탐정셜록캣",,,http://xn--jj0b998aq3cptw.com/
gk_dsr,황금열쇠 대구동성로점,6,0:00,"경산,가이아,기적의땅,자일로,JAIL.O,타임스틸러,X됐다,좆됐다,ㅈ됐다",,,http://xn--jj0b998aq3cptw.com/
gk_ca,황금열쇠 천안아케이드점,6,0:00,괴물,,,https://naver.me/FZoojzvU
hs_hd,히든스위치 홍대점,,,"AUDREY,오드리,MISSING,미씽",1,,https://naver.me/GQ1lYd0z
mp_kd2,머더파커 건대2호점,,,"그림가문,초대받지않은손님,특수사건대응반,미로",1,,http://www.murderparker.com/
gom_sm,게임 오브 마인드 서면점,,,"블랙매직위험한마법사,다크매직어둠의마법,다빈치생명의서,카니발미치광이의사",1,,https://naver.me/xTT6YRit
sh_sw_2,셜록홈즈 수원역2호점 (T.A),,,"그레이백작가의 밀실,제4창고에서의 탈출,ASDF,우수사원,비밀번호찾기,402호병실,고서연전,인생은실전이다종만아",1,,https://sherlock-holmes.co.kr/
